PRISM Time Series Data,,,,,,
Locations: 292,,,,,,
"Climate variables: ppt,tmean",,,,,,
WR7,-72.5991,43.6785,1266,September,3.88,57.4
WR7,-72.5991,43.6785,1266,October,4.99,45.7
WR7,-72.5991,43.6785,1266,November,3.51,34.8
WR7,-72.5991,43.6785,1266,December,4.05,24
WR7,-72.5991,43.6785,1266,Annual,46.8,42.7
,,,,,,
RM11,-73.0927,43.1396,955,January,3.8,20.8
RM11,-73.0927,43.1396,955,February,3.42,22.6
RM11,-73.0927,43.1396,955,March,3.93,31
RM11,-73.0927,43.1396,955,April,4.13,43.6
RM11,-73.0927,43.1396,955,May,4.3,55
RM11,-73.0927,43.1396,955,June,4.78,63.5
RM11,-73.0927,43.1396,955,July,4.71,67.9
RM11,-73.0927,43.1396,955,August,4.82,66.2
RM11,-73.0927,43.1396,955,September,4.12,59.2
RM11,-73.0927,43.1396,955,October,5.11,47.7
RM11,-73.0927,43.1396,955,November,3.97,37.3
RM11,-73.0927,43.1396,955,December,5,27.2
RM11,-73.0927,43.1396,955,Annual,52.09,45.1
,,,,,,
RM4,-73.107,43.9833,418,January,2.27,19.7
RM4,-73.107,43.9833,418,February,1.82,21.6
RM4,-73.107,43.9833,418,March,2.39,30.8
RM4,-73.107,43.9833,418,April,3.21,44
RM4,-73.107,43.9833,418,May,3.89,56.3
RM4,-73.107,43.9833,418,June,4.19,65.2
RM4,-73.107,43.9833,418,July,4.63,70.1
RM4,-73.107,43.9833,418,August,4.11,68.4
RM4,-73.107,43.9833,418,September,3.72,61
RM4,-73.107,43.9833,418,October,4.06,48.6
RM4,-73.107,43.9833,418,November,2.9,37.5
RM4,-73.107,43.9833,418,December,3.07,26.6
RM4,-73.107,43.9833,418,Annual,40.26,45.8
,,,,,,
RM5,-73.1106,43.982,412,January,2.27,19.7
RM5,-73.1106,43.982,412,February,1.82,21.6
RM5,-73.1106,43.982,412,March,2.38,30.8
RM5,-73.1106,43.982,412,April,3.2,44
RM5,-73.1106,43.982,412,May,3.88,56.4
RM5,-73.1106,43.982,412,June,4.19,65.3
RM5,-73.1106,43.982,412,July,4.61,70.2
RM5,-73.1106,43.982,412,August,4.09,68.4
RM5,-73.1106,43.982,412,September,3.71,61
RM5,-73.1106,43.982,412,October,4.05,48.6
RM5,-73.1106,43.982,412,November,2.9,37.5
RM5,-73.1106,43.982,412,December,3.07,26.6
RM5,-73.1106,43.982,412,Annual,40.16,45.8
,,,,,,
RM1,-72.8704,43.4859,1348,January,3.48,20.3
RM1,-72.8704,43.4859,1348,February,2.94,22.1
RM1,-72.8704,43.4859,1348,March,3.64,29.8
RM1,-72.8704,43.4859,1348,April,4.04,41.9
RM1,-72.8704,43.4859,1348,May,4.38,53.7
RM1,-72.8704,43.4859,1348,June,4.89,62.2
RM1,-72.8704,43.4859,1348,July,4.98,66.8
RM1,-72.8704,43.4859,1348,August,4.47,64.9
RM1,-72.8704,43.4859,1348,September,4.18,57.9
RM1,-72.8704,43.4859,1348,October,5.03,46.3
RM1,-72.8704,43.4859,1348,November,3.75,36.4
RM1,-72.8704,43.4859,1348,December,4.28,26.5
RM1,-72.8704,43.4859,1348,Annual,50.05,44.1
,,,,,,
NW12C,-72.9706,44.9672,285,January,2.82,17.1
NW12C,-72.9706,44.9672,285,February,2.29,19.3
NW12C,-72.9706,44.9672,285,March,2.79,29.1
NW12C,-72.9706,44.9672,285,April,3.34,43.1
NW12C,-72.9706,44.9672,285,May,3.87,56.3
NW12C,-72.9706,44.9672,285,June,4.39,65.2
NW12C,-72.9706,44.9672,285,July,4.36,69.9
NW12C,-72.9706,44.9672,285,August,4.21,68.2
NW12C,-72.9706,44.9672,285,September,3.89,60.8
NW12C,-72.9706,44.9672,285,October,4.2,48.5
NW12C,-72.9706,44.9672,285,November,3.22,36.9
NW12C,-72.9706,44.9672,285,December,3.23,25.2
NW12C,-72.9706,44.9672,285,Annual,42.61,45
,,,,,,
NW12T,-72.9715,44.967,278,January,2.82,17.1
NW12T,-72.9715,44.967,278,February,2.29,19.3
NW12T,-72.9715,44.967,278,March,2.79,29.1
NW12T,-72.9715,44.967,278,April,3.34,43.2
NW12T,-72.9715,44.967,278,May,3.87,56.3
NW12T,-72.9715,44.967,278,June,4.39,65.2
NW12T,-72.9715,44.967,278,July,4.35,69.9
NW12T,-72.9715,44.967,278,August,4.2,68.3
NW12T,-72.9715,44.967,278,September,3.88,60.8
NW12T,-72.9715,44.967,278,October,4.2,48.5
NW12T,-72.9715,44.967,278,November,3.22,36.9
NW12T,-72.9715,44.967,278,December,3.23,25.2
NW12T,-72.9715,44.967,278,Annual,42.58,45
,,,,,,
LO16,-73.0977,44.1413,516,January,2.59,19
LO16,-73.0977,44.1413,516,February,2.02,20.9
LO16,-73.0977,44.1413,516,March,2.64,30.1
LO16,-73.0977,44.1413,516,April,3.19,43.2
LO16,-73.0977,44.1413,516,May,3.96,55.8
LO16,-73.0977,44.1413,516,June,4.31,64.6
LO16,-73.0977,44.1413,516,July,4.71,69.6
LO16,-73.0977,44.1413,516,August,4.29,67.8
LO16,-73.0977,44.1413,516,September,3.42,60.3
LO16,-73.0977,44.1413,516,October,3.92,48
LO16,-73.0977,44.1413,516,November,3.09,37.1
LO16,-73.0977,44.1413,516,December,3,26.2
LO16,-73.0977,44.1413,516,Annual,41.15,45.2
,,,,,,
LO17,-73.0966,44.1409,523,January,2.6,19
LO17,-73.0966,44.1409,523,February,2.03,20.9
LO17,-73.0966,44.1409,523,March,2.66,30
LO17,-73.0966,44.1409,523,April,3.2,43.2
LO17,-73.0966,44.1409,523,May,3.96,55.7
LO17,-73.0966,44.1409,523,June,4.32,64.6
LO17,-73.0966,44.1409,523,July,4.72,69.5
LO17,-73.0966,44.1409,523,August,4.3,67.8
LO17,-73.0966,44.1409,523,September,3.42,60.2
LO17,-73.0966,44.1409,523,October,3.93,48
LO17,-73.0966,44.1409,523,November,3.1,37.1
LO17,-73.0966,44.1409,523,December,3.01,26.2
LO17,-73.0966,44.1409,523,Annual,41.25,45.2
,,,,,,
LO18,-73.1019,44.1432,513,January,2.59,19
LO18,-73.1019,44.1432,513,February,2.02,20.9
LO18,-73.1019,44.1432,513,March,2.64,30.1
LO18,-73.1019,44.1432,513,April,3.18,43.2
LO18,-73.1019,44.1432,513,May,3.95,55.8
LO18,-73.1019,44.1432,513,June,4.3,64.6
LO18,-73.1019,44.1432,513,July,4.71,69.6
LO18,-73.1019,44.1432,513,August,4.29,67.8
LO18,-73.1019,44.1432,513,September,3.41,60.3
LO18,-73.1019,44.1432,513,October,3.91,48
LO18,-73.1019,44.1432,513,November,3.09,37.1
LO18,-73.1019,44.1432,513,December,2.99,26.2
LO18,-73.1019,44.1432,513,Annual,41.07,45.2
,,,,,,
LO19,-73.1028,44.1384,480,January,2.57,19.1
LO19,-73.1028,44.1384,480,February,2,21.1
LO19,-73.1028,44.1384,480,March,2.62,30.2
LO19,-73.1028,44.1384,480,April,3.16,43.4
LO19,-73.1028,44.1384,480,May,3.93,55.9
LO19,-73.1028,44.1384,480,June,4.28,64.8
LO19,-73.1028,44.1384,480,July,4.69,69.7
LO19,-73.1028,44.1384,480,August,4.26,68
LO19,-73.1028,44.1384,480,September,3.4,60.4
LO19,-73.1028,44.1384,480,October,3.89,48.2
LO19,-73.1028,44.1384,480,November,3.07,37.3
LO19,-73.1028,44.1384,480,December,2.98,26.3
LO19,-73.1028,44.1384,480,Annual,40.86,45.4
,,,,,,
LO20,-73.1098,44.1439,496,January,2.58,19.1
LO20,-73.1098,44.1439,496,February,2.02,21
LO20,-73.1098,44.1439,496,March,2.63,30.2
LO20,-73.1098,44.1439,496,April,3.16,43.3
LO20,-73.1098,44.1439,496,May,3.92,55.8
LO20,-73.1098,44.1439,496,June,4.28,64.7
LO20,-73.1098,44.1439,496,July,4.68,69.7
LO20,-73.1098,44.1439,496,August,4.27,67.9
LO20,-73.1098,44.1439,496,September,3.37,60.4
LO20,-73.1098,44.1439,496,October,3.87,48.1
LO20,-73.1098,44.1439,496,November,3.07,37.2
LO20,-73.1098,44.1439,496,December,2.98,26.3
LO20,-73.1098,44.1439,496,Annual,40.81,45.3
,,,,,,
LO21,-73.1145,44.1451,484,January,2.58,19.1
LO21,-73.1145,44.1451,484,February,2.02,21.1
LO21,-73.1145,44.1451,484,March,2.63,30.2
LO21,-73.1145,44.1451,484,April,3.16,43.4
LO21,-73.1145,44.1451,484,May,3.92,55.9
LO21,-73.1145,44.1451,484,June,4.28,64.7
LO21,-73.1145,44.1451,484,July,4.67,69.7
LO21,-73.1145,44.1451,484,August,4.27,68
LO21,-73.1145,44.1451,484,September,3.36,60.4
LO21,-73.1145,44.1451,484,October,3.86,48.2
LO21,-73.1145,44.1451,484,November,3.07,37.3
LO21,-73.1145,44.1451,484,December,2.97,26.3
LO21,-73.1145,44.1451,484,Annual,40.79,45.4
,,,,,,
LO22,-73.108,44.142,496,January,2.57,19.1
LO22,-73.108,44.142,496,February,2.01,21
LO22,-73.108,44.142,496,March,2.62,30.2
LO22,-73.108,44.142,496,April,3.16,43.3
LO22,-73.108,44.142,496,May,3.93,55.8
LO22,-73.108,44.142,496,June,4.28,64.7
LO22,-73.108,44.142,496,July,4.68,69.7
LO22,-73.108,44.142,496,August,4.26,67.9
LO22,-73.108,44.142,496,September,3.38,60.4
LO22,-73.108,44.142,496,October,3.87,48.1
LO22,-73.108,44.142,496,November,3.07,37.2
LO22,-73.108,44.142,496,December,2.97,26.3
LO22,-73.108,44.142,496,Annual,40.79,45.3
,,,,,,
LO23,-73.1,44.1,446,January,2.48,19.4
LO23,-73.1,44.1,446,February,1.96,21.4
LO23,-73.1,44.1,446,March,2.54,30.6
LO23,-73.1,44.1,446,April,3.13,43.5
LO23,-73.1,44.1,446,May,3.9,56
LO23,-73.1,44.1,446,June,4.24,64.8
LO23,-73.1,44.1,446,July,4.61,69.8
LO23,-73.1,44.1,446,August,4.13,68.1
LO23,-73.1,44.1,446,September,3.42,60.5
LO23,-73.1,44.1,446,October,3.91,48.3
LO23,-73.1,44.1,446,November,2.99,37.3
LO23,-73.1,44.1,446,December,2.94,26.5
LO23,-73.1,44.1,446,Annual,40.25,45.5
,,,,,,
LO24,-73.1,44.1,446,January,2.48,19.4
LO24,-73.1,44.1,446,February,1.96,21.4
LO24,-73.1,44.1,446,March,2.54,30.6
LO24,-73.1,44.1,446,April,3.13,43.5
LO24,-73.1,44.1,446,May,3.9,56
LO24,-73.1,44.1,446,June,4.24,64.8
LO24,-73.1,44.1,446,July,4.61,69.8
LO24,-73.1,44.1,446,August,4.13,68.1
LO24,-73.1,44.1,446,September,3.42,60.5
LO24,-73.1,44.1,446,October,3.91,48.3
LO24,-73.1,44.1,446,November,2.99,37.3
LO24,-73.1,44.1,446,December,2.94,26.5
LO24,-73.1,44.1,446,Annual,40.25,45.5
,,,,,,
LO25,-73.118,44.136,396,January,2.54,19.4
LO25,-73.118,44.136,396,February,2,21.4
LO25,-73.118,44.136,396,March,2.59,30.6
LO25,-73.118,44.136,396,April,3.13,43.7
LO25,-73.118,44.136,396,May,3.88,56.2
LO25,-73.118,44.136,396,June,4.24,65.1
LO25,-73.118,44.136,396,July,4.61,70.1
LO25,-73.118,44.136,396,August,4.21,68.4
LO25,-73.118,44.136,396,September,3.34,60.8
LO25,-73.118,44.136,396,October,3.83,48.5
LO25,-73.118,44.136,396,November,3.04,37.6
LO25,-73.118,44.136,396,December,2.95,26.6
LO25,-73.118,44.136,396,Annual,40.35,45.7
,,,,,,
LO26,-73.1,44.1,446,January,2.48,19.4
LO26,-73.1,44.1,446,February,1.96,21.4
LO26,-73.1,44.1,446,March,2.54,30.6
LO26,-73.1,44.1,446,April,3.13,43.5
LO26,-73.1,44.1,446,May,3.9,56
LO26,-73.1,44.1,446,June,4.24,64.8
LO26,-73.1,44.1,446,July,4.61,69.8
LO26,-73.1,44.1,446,August,4.13,68.1
LO26,-73.1,44.1,446,September,3.42,60.5
LO26,-73.1,44.1,446,October,3.91,48.3
LO26,-73.1,44.1,446,November,2.99,37.3
LO26,-73.1,44.1,446,December,2.94,26.5
LO26,-73.1,44.1,446,Annual,40.25,45.5
,,,,,,
LO27,-73.1229,44.1477,478,January,2.58,19.2
LO27,-73.1229,44.1477,478,February,2.02,21.1
LO27,-73.1229,44.1477,478,March,2.63,30.3
LO27,-73.1229,44.1477,478,April,3.16,43.4
LO27,-73.1229,44.1477,478,May,3.91,55.9
LO27,-73.1229,44.1477,478,June,4.27,64.8
LO27,-73.1229,44.1477,478,July,4.65,69.8
LO27,-73.1229,44.1477,478,August,4.26,68
LO27,-73.1229,44.1477,478,September,3.35,60.4
LO27,-73.1229,44.1477,478,October,3.86,48.2
LO27,-73.1229,44.1477,478,November,3.07,37.3
LO27,-73.1229,44.1477,478,December,2.97,26.4
LO27,-73.1229,44.1477,478,Annual,40.74,45.4
,,,,,,
LO28,-73.1258,44.1504,487,January,2.59,19.1
LO28,-73.1258,44.1504,487,February,2.03,21.1
LO28,-73.1258,44.1504,487,March,2.64,30.2
LO28,-73.1258,44.1504,487,April,3.16,43.3
LO28,-73.1258,44.1504,487,May,3.91,55.9
LO28,-73.1258,44.1504,487,June,4.27,64.7
LO28,-73.1258,44.1504,487,July,4.65,69.7
LO28,-73.1258,44.1504,487,August,4.26,67.9
LO28,-73.1258,44.1504,487,September,3.35,60.4
LO28,-73.1258,44.1504,487,October,3.87,48.2
LO28,-73.1258,44.1504,487,November,3.07,37.3
LO28,-73.1258,44.1504,487,December,2.98,26.4
LO28,-73.1258,44.1504,487,Annual,40.76,45.4
,,,,,,
LO30,-73.1245,44.1496,485,January,2.59,19.1
LO30,-73.1245,44.1496,485,February,2.03,21.1
LO30,-73.1245,44.1496,485,March,2.64,30.2
LO30,-73.1245,44.1496,485,April,3.16,43.4
LO30,-73.1245,44.1496,485,May,3.91,55.9
LO30,-73.1245,44.1496,485,June,4.27,64.7
LO30,-73.1245,44.1496,485,July,4.65,69.7
LO30,-73.1245,44.1496,485,August,4.26,68
LO30,-73.1245,44.1496,485,September,3.35,60.4
LO30,-73.1245,44.1496,485,October,3.87,48.2
LO30,-73.1245,44.1496,485,November,3.07,37.3
LO30,-73.1245,44.1496,485,December,2.98,26.4
LO30,-73.1245,44.1496,485,Annual,40.76,45.4
,,,,,,
LO31,-73.1,44.1,446,January,2.48,19.4
LO31,-73.1,44.1,446,February,1.96,21.4
LO31,-73.1,44.1,446,March,2.54,30.6
LO31,-73.1,44.1,446,April,3.13,43.5
LO31,-73.1,44.1,446,May,3.9,56
LO31,-73.1,44.1,446,June,4.24,64.8
LO31,-73.1,44.1,446,July,4.61,69.8
LO31,-73.1,44.1,446,August,4.13,68.1
LO31,-73.1,44.1,446,September,3.42,60.5
LO31,-73.1,44.1,446,October,3.91,48.3
LO31,-73.1,44.1,446,November,2.99,37.3
LO31,-73.1,44.1,446,December,2.94,26.5
LO31,-73.1,44.1,446,Annual,40.25,45.5
,,,,,,
LO32,-73.1,44.1,446,January,2.48,19.4
LO32,-73.1,44.1,446,February,1.96,21.4
LO32,-73.1,44.1,446,March,2.54,30.6
LO32,-73.1,44.1,446,April,3.13,43.5
LO32,-73.1,44.1,446,May,3.9,56
LO32,-73.1,44.1,446,June,4.24,64.8
LO32,-73.1,44.1,446,July,4.61,69.8
LO32,-73.1,44.1,446,August,4.13,68.1
LO32,-73.1,44.1,446,September,3.42,60.5
LO32,-73.1,44.1,446,October,3.91,48.3
LO32,-73.1,44.1,446,November,2.99,37.3
LO32,-73.1,44.1,446,December,2.94,26.5
LO32,-73.1,44.1,446,Annual,40.25,45.5
,,,,,,
LO33,-73.1237,44.1449,447,January,2.57,19.3
LO33,-73.1237,44.1449,447,February,2.01,21.2
LO33,-73.1237,44.1449,447,March,2.61,30.4
LO33,-73.1237,44.1449,447,April,3.14,43.5
LO33,-73.1237,44.1449,447,May,3.89,56
LO33,-73.1237,44.1449,447,June,4.26,64.9
LO33,-73.1237,44.1449,447,July,4.63,69.9
LO33,-73.1237,44.1449,447,August,4.23,68.1
LO33,-73.1237,44.1449,447,September,3.34,60.6
LO33,-73.1237,44.1449,447,October,3.85,48.3
LO33,-73.1237,44.1449,447,November,3.05,37.4
LO33,-73.1237,44.1449,447,December,2.96,26.5
LO33,-73.1237,44.1449,447,Annual,40.55,45.5
,,,,,,
LO34,-73.1,44.1,446,January,2.48,19.4
LO34,-73.1,44.1,446,February,1.96,21.4
LO34,-73.1,44.1,446,March,2.54,30.6
LO34,-73.1,44.1,446,April,3.13,43.5
LO34,-73.1,44.1,446,May,3.9,56
LO34,-73.1,44.1,446,June,4.24,64.8
LO34,-73.1,44.1,446,July,4.61,69.8
LO34,-73.1,44.1,446,August,4.13,68.1
LO34,-73.1,44.1,446,September,3.42,60.5
LO34,-73.1,44.1,446,October,3.91,48.3
LO34,-73.1,44.1,446,November,2.99,37.3
LO34,-73.1,44.1,446,December,2.94,26.5
LO34,-73.1,44.1,446,Annual,40.25,45.5
,,,,,,
LO35,-73.1,44.154,540,January,2.64,19
LO35,-73.1,44.154,540,February,2.07,20.9
LO35,-73.1,44.154,540,March,2.7,30
LO35,-73.1,44.154,540,April,3.23,43.1
LO35,-73.1,44.154,540,May,3.99,55.7
LO35,-73.1,44.154,540,June,4.36,64.5
LO35,-73.1,44.154,540,July,4.76,69.4
LO35,-73.1,44.154,540,August,4.35,67.7
LO35,-73.1,44.154,540,September,3.43,60.1
LO35,-73.1,44.154,540,October,3.95,47.9
LO35,-73.1,44.154,540,November,3.14,37.1
LO35,-73.1,44.154,540,December,3.04,26.1
LO35,-73.1,44.154,540,Annual,41.67,45.1
,,,,,,
NW23C,-73.1404,44.9057,156,January,2.51,17.8
NW23C,-73.1404,44.9057,156,February,2.08,20
NW23C,-73.1404,44.9057,156,March,2.56,29.6
NW23C,-73.1404,44.9057,156,April,3.2,43.6
NW23C,-73.1404,44.9057,156,May,3.69,56.9
NW23C,-73.1404,44.9057,156,June,4.27,65.8
NW23C,-73.1404,44.9057,156,July,4.09,70.6
NW23C,-73.1404,44.9057,156,August,3.91,69
NW23C,-73.1404,44.9057,156,September,3.6,61.5
NW23C,-73.1404,44.9057,156,October,3.98,49
NW23C,-73.1404,44.9057,156,November,3.03,37.3
NW23C,-73.1404,44.9057,156,December,2.96,26
NW23C,-73.1404,44.9057,156,Annual,39.86,45.6
,,,,,,
NW23T,-73.1478,44.9021,150,January,2.49,17.8
NW23T,-73.1478,44.9021,150,February,2.06,20
NW23T,-73.1478,44.9021,150,March,2.54,29.6
NW23T,-73.1478,44.9021,150,April,3.19,43.7
NW23T,-73.1478,44.9021,150,May,3.67,57
NW23T,-73.1478,44.9021,150,June,4.27,65.8
NW23T,-73.1478,44.9021,150,July,4.08,70.7
NW23T,-73.1478,44.9021,150,August,3.9,69
NW23T,-73.1478,44.9021,150,September,3.58,61.5
NW23T,-73.1478,44.9021,150,October,3.96,49.1
NW23T,-73.1478,44.9021,150,November,3.02,37.4
NW23T,-73.1478,44.9021,150,December,2.94,26
NW23T,-73.1478,44.9021,150,Annual,39.71,45.6
,,,,,,
NW07C,-72.8009,44.8663,427,January,2.55,16.8
NW07C,-72.8009,44.8663,427,February,2.14,19
NW07C,-72.8009,44.8663,427,March,2.79,28.7
NW07C,-72.8009,44.8663,427,April,3.34,42.9
NW07C,-72.8009,44.8663,427,May,3.97,55.8
NW07C,-72.8009,44.8663,427,June,4.38,64.6
NW07C,-72.8009,44.8663,427,July,4.58,69.2
NW07C,-72.8009,44.8663,427,August,4.39,67.7
NW07C,-72.8009,44.8663,427,September,4.19,60.3
NW07C,-72.8009,44.8663,427,October,4.25,48.2
NW07C,-72.8009,44.8663,427,November,3.19,36.6
NW07C,-72.8009,44.8663,427,December,3.25,24.9
NW07C,-72.8009,44.8663,427,Annual,43.01,44.6
,,,,,,
NW07T,-72.8002,44.8693,452,January,2.54,16.8
NW07T,-72.8002,44.8693,452,February,2.12,19
NW07T,-72.8002,44.8693,452,March,2.78,28.6
NW07T,-72.8002,44.8693,452,April,3.33,42.8
NW07T,-72.8002,44.8693,452,May,3.96,55.8
NW07T,-72.8002,44.8693,452,June,4.37,64.5
NW07T,-72.8002,44.8693,452,July,4.58,69.1
NW07T,-72.8002,44.8693,452,August,4.39,67.6
NW07T,-72.8002,44.8693,452,September,4.19,60.2
NW07T,-72.8002,44.8693,452,October,4.25,48.1
NW07T,-72.8002,44.8693,452,November,3.18,36.5
NW07T,-72.8002,44.8693,452,December,3.23,24.8
NW07T,-72.8002,44.8693,452,Annual,42.93,44.5
,,,,,,
D1,-71.9552,44.4296,888,January,2.49,15.1
D1,-71.9552,44.4296,888,February,2.17,17.2
D1,-71.9552,44.4296,888,March,2.43,27.1
D1,-71.9552,44.4296,888,April,3.22,40.9
D1,-71.9552,44.4296,888,May,3.82,53.6
D1,-71.9552,44.4296,888,June,4.37,62.6
D1,-71.9552,44.4296,888,July,4.63,67.4
D1,-71.9552,44.4296,888,August,4.15,65.5
D1,-71.9552,44.4296,888,September,3.56,58
D1,-71.9552,44.4296,888,October,4.31,45.7
D1,-71.9552,44.4296,888,November,3.12,34.2
D1,-71.9552,44.4296,888,December,3.25,22.7
D1,-71.9552,44.4296,888,Annual,41.52,42.5
,,,,,,
VE2,-72.6216,44.1029,1513,January,3.09,16.2
VE2,-72.6216,44.1029,1513,February,2.65,18.2
VE2,-72.6216,44.1029,1513,March,3.22,26.6
VE2,-72.6216,44.1029,1513,April,3.66,40.1
VE2,-72.6216,44.1029,1513,May,4.01,52.6
VE2,-72.6216,44.1029,1513,June,4.57,61.1
VE2,-72.6216,44.1029,1513,July,4.75,65.6
VE2,-72.6216,44.1029,1513,August,4.32,64.1
VE2,-72.6216,44.1029,1513,September,3.47,56.9
VE2,-72.6216,44.1029,1513,October,4.4,45.2
VE2,-72.6216,44.1029,1513,November,3.2,33.9
VE2,-72.6216,44.1029,1513,December,3.72,23
VE2,-72.6216,44.1029,1513,Annual,45.05,42
,,,,,,
VE1,-72.6206,44.1018,1511,January,3.09,16.2
VE1,-72.6206,44.1018,1511,February,2.66,18.2
VE1,-72.6206,44.1018,1511,March,3.22,26.6
VE1,-72.6206,44.1018,1511,April,3.66,40.1
VE1,-72.6206,44.1018,1511,May,4.01,52.6
VE1,-72.6206,44.1018,1511,June,4.57,61.1
VE1,-72.6206,44.1018,1511,July,4.75,65.7
VE1,-72.6206,44.1018,1511,August,4.32,64.1
VE1,-72.6206,44.1018,1511,September,3.48,56.9
VE1,-72.6206,44.1018,1511,October,4.4,45.2
VE1,-72.6206,44.1018,1511,November,3.21,33.9
VE1,-72.6206,44.1018,1511,December,3.72,23
VE1,-72.6206,44.1018,1511,Annual,45.1,42
,,,,,,
RM2,-73.3346,43.9303,325,January,2.39,20
RM2,-73.3346,43.9303,325,February,1.97,21.9
RM2,-73.3346,43.9303,325,March,2.44,31.3
RM2,-73.3346,43.9303,325,April,3.02,44.3
RM2,-73.3346,43.9303,325,May,3.32,56.6
RM2,-73.3346,43.9303,325,June,3.93,65.7
RM2,-73.3346,43.9303,325,July,3.7,70.7
RM2,-73.3346,43.9303,325,August,3.61,69
RM2,-73.3346,43.9303,325,September,3.1,61.3
RM2,-73.3346,43.9303,325,October,3.77,48.9
RM2,-73.3346,43.9303,325,November,2.76,37.7
RM2,-73.3346,43.9303,325,December,2.98,26.9
RM2,-73.3346,43.9303,325,Annual,36.99,46.2
,,,,,,
RM3,-73.3367,43.9314,317,January,2.39,20
RM3,-73.3367,43.9314,317,February,1.97,21.9
RM3,-73.3367,43.9314,317,March,2.44,31.3
RM3,-73.3367,43.9314,317,April,3.02,44.3
RM3,-73.3367,43.9314,317,May,3.32,56.7
RM3,-73.3367,43.9314,317,June,3.92,65.7
RM3,-73.3367,43.9314,317,July,3.69,70.8
RM3,-73.3367,43.9314,317,August,3.61,69
RM3,-73.3367,43.9314,317,September,3.1,61.3
RM3,-73.3367,43.9314,317,October,3.76,48.9
RM3,-73.3367,43.9314,317,November,2.76,37.7
RM3,-73.3367,43.9314,317,December,2.98,26.9
RM3,-73.3367,43.9314,317,Annual,36.97,46.2
,,,,,,
AW15,-73.31,44.04,181,January,2.31,20.3
AW15,-73.31,44.04,181,February,1.93,22.2
AW15,-73.31,44.04,181,March,2.39,31.6
AW15,-73.31,44.04,181,April,3.07,44.6
AW15,-73.31,44.04,181,May,3.34,57.1
AW15,-73.31,44.04,181,June,4.01,66.3
AW15,-73.31,44.04,181,July,3.72,71.3
AW15,-73.31,44.04,181,August,3.52,69.6
AW15,-73.31,44.04,181,September,3.08,61.9
AW15,-73.31,44.04,181,October,3.76,49.4
AW15,-73.31,44.04,181,November,2.74,38.2
AW15,-73.31,44.04,181,December,2.96,27.3
AW15,-73.31,44.04,181,Annual,36.83,46.6
,,,,,,
AW16,-73.31,44.05,199,January,2.31,20.2
AW16,-73.31,44.05,199,February,1.93,22.1
AW16,-73.31,44.05,199,March,2.39,31.5
AW16,-73.31,44.05,199,April,3.07,44.5
AW16,-73.31,44.05,199,May,3.38,57.1
AW16,-73.31,44.05,199,June,4.03,66.2
AW16,-73.31,44.05,199,July,3.77,71.2
AW16,-73.31,44.05,199,August,3.54,69.6
AW16,-73.31,44.05,199,September,3.11,61.7
AW16,-73.31,44.05,199,October,3.79,49.3
AW16,-73.31,44.05,199,November,2.74,38.1
AW16,-73.31,44.05,199,December,2.94,27.2
AW16,-73.31,44.05,199,Annual,37.01,46.6
,,,,,,
VE9,-73.3086,43.8147,317,January,2.44,20.1
VE9,-73.3086,43.8147,317,February,1.99,22.1
VE9,-73.3086,43.8147,317,March,2.51,31.5
VE9,-73.3086,43.8147,317,April,3.03,44.7
VE9,-73.3086,43.8147,317,May,3.4,56.7
VE9,-73.3086,43.8147,317,June,3.95,66
VE9,-73.3086,43.8147,317,July,3.79,70.8
VE9,-73.3086,43.8147,317,August,3.69,69.1
VE9,-73.3086,43.8147,317,September,3.15,61.4
VE9,-73.3086,43.8147,317,October,3.81,48.9
VE9,-73.3086,43.8147,317,November,2.8,37.7
VE9,-73.3086,43.8147,317,December,3.02,27
VE9,-73.3086,43.8147,317,Annual,37.58,46.3
,,,,,,
VE10,-73.313,43.8223,281,January,2.43,20.2
VE10,-73.313,43.8223,281,February,1.99,22.2
VE10,-73.313,43.8223,281,March,2.5,31.7
VE10,-73.313,43.8223,281,April,3.01,44.8
VE10,-73.313,43.8223,281,May,3.36,56.8
VE10,-73.313,43.8223,281,June,3.93,66.1
VE10,-73.313,43.8223,281,July,3.75,71
VE10,-73.313,43.8223,281,August,3.67,69.3
VE10,-73.313,43.8223,281,September,3.12,61.6
VE10,-73.313,43.8223,281,October,3.79,49
VE10,-73.313,43.8223,281,November,2.79,37.8
VE10,-73.313,43.8223,281,December,3.01,27.1
VE10,-73.313,43.8223,281,Annual,37.35,46.5
,,,,,,
EL5,-72.2589,44.6888,1853,January,3.33,13.5
EL5,-72.2589,44.6888,1853,February,2.87,15.4
EL5,-72.2589,44.6888,1853,March,3.3,24.4
EL5,-72.2589,44.6888,1853,April,3.74,38
EL5,-72.2589,44.6888,1853,May,4.39,51.3
EL5,-72.2589,44.6888,1853,June,4.99,60.1
EL5,-72.2589,44.6888,1853,July,5.07,64.9
EL5,-72.2589,44.6888,1853,August,4.95,63.3
EL5,-72.2589,44.6888,1853,September,4.05,55.9
EL5,-72.2589,44.6888,1853,October,4.91,43.7
EL5,-72.2589,44.6888,1853,November,3.73,31.6
EL5,-72.2589,44.6888,1853,December,4.13,20.3
EL5,-72.2589,44.6888,1853,Annual,49.47,40.2
,,,,,,
AW1,-73.2063,44.431,222,January,2.28,19.2
AW1,-73.2063,44.431,222,February,1.84,21.2
AW1,-73.2063,44.431,222,March,2.46,30.6
